danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0.236,0.978,4,-6.112,1,0.347,0.00254,1.21e-4,0.824,0.207,183.808,audio_features,1xwyGodEtkwMFhuwyRkyoK,spotify:track:1xwyGodEtkwMFhuwyRkyoK,https://api.spotify.com/v1/tracks/1xwyGodEtkwMFhuwyRkyoK,https://api.spotify.com/v1/audio-analysis/1xwyGodEtkwMFhuwyRkyoK,155360,4,Pocket Sand
0.32,0.889,1,-7.164,1,0.115,0.00658,0.0012,0.518,0.591,185.137,audio_features,57GYDxOy0YoVV532iX5LK4,spotify:track:57GYDxOy0YoVV532iX5LK4,https://api.spotify.com/v1/tracks/57GYDxOy0YoVV532iX5LK4,https://api.spotify.com/v1/audio-analysis/57GYDxOy0YoVV532iX5LK4,141733,4,Mercury in Retrograde
0.391,0.954,3,-5.548,1,0.0885,7.77e-4,0,0.141,0.45,189.955,audio_features,0syouD4Kpts885h93A03Mo,spotify:track:0syouD4Kpts885h93A03Mo,https://api.spotify.com/v1/tracks/0syouD4Kpts885h93A03Mo,https://api.spotify.com/v1/audio-analysis/0syouD4Kpts885h93A03Mo,139776,4,Modern Stigmata
0.353,0.938,11,-7.172,1,0.141,0.00896,0.00348,0.121,0.358,180.17,audio_features,5yQb87zH7lTtZ85hX0jvDO,spotify:track:5yQb87zH7lTtZ85hX0jvDO,https://api.spotify.com/v1/tracks/5yQb87zH7lTtZ85hX0jvDO,https://api.spotify.com/v1/audio-analysis/5yQb87zH7lTtZ85hX0jvDO,177691,4,Take a Walk on the Mild Side
0.402,0.95,11,-6.059,1,0.224,7.4e-4,9.05e-6,0.292,0.547,175.001,audio_features,2wiMu3GKxe5kbM6ikvEGe3,spotify:track:2wiMu3GKxe5kbM6ikvEGe3,https://api.spotify.com/v1/tracks/2wiMu3GKxe5kbM6ikvEGe3,https://api.spotify.com/v1/audio-analysis/2wiMu3GKxe5kbM6ikvEGe3,161792,4,Jagweed
0.372,0.955,3,-7.049,1,0.239,0.00483,1.28e-4,0.108,0.211,129.778,audio_features,2FErV6zZcsmGYCfkQgALiW,spotify:track:2FErV6zZcsmGYCfkQgALiW,https://api.spotify.com/v1/tracks/2FErV6zZcsmGYCfkQgALiW,https://api.spotify.com/v1/audio-analysis/2FErV6zZcsmGYCfkQgALiW,217609,5,Self Amusing Smile
0.493,0.985,8,-6.629,1,0.169,0.00336,0.0942,0.44,0.432,179.965,audio_features,4B0KDrhzbWIg5u4bBChgRf,spotify:track:4B0KDrhzbWIg5u4bBChgRf,https://api.spotify.com/v1/tracks/4B0KDrhzbWIg5u4bBChgRf,https://api.spotify.com/v1/audio-analysis/4B0KDrhzbWIg5u4bBChgRf,87647,4,Lancaster
0.397,0.88,8,-7.162,1,0.0744,0.00435,0,0.453,0.827,184.702,audio_features,6jIU0o4oto7GK6Sw809dKI,spotify:track:6jIU0o4oto7GK6Sw809dKI,https://api.spotify.com/v1/tracks/6jIU0o4oto7GK6Sw809dKI,https://api.spotify.com/v1/audio-analysis/6jIU0o4oto7GK6Sw809dKI,124988,4,A Bastard's Hope
0.387,0.971,8,-5.482,1,0.169,4.4e-4,1.22e-5,0.478,0.367,185.046,audio_features,4Il9QKgLgB4Y2CM8GiNSJA,spotify:track:4Il9QKgLgB4Y2CM8GiNSJA,https://api.spotify.com/v1/tracks/4Il9QKgLgB4Y2CM8GiNSJA,https://api.spotify.com/v1/audio-analysis/4Il9QKgLgB4Y2CM8GiNSJA,167390,4,Tired About It
0.191,0.964,3,-5.772,1,0.095,1.31e-4,2.53e-6,0.194,0.495,185.071,audio_features,31sKvMBBXrz3z9VHPze1Cr,spotify:track:31sKvMBBXrz3z9VHPze1Cr,https://api.spotify.com/v1/tracks/31sKvMBBXrz3z9VHPze1Cr,https://api.spotify.com/v1/audio-analysis/31sKvMBBXrz3z9VHPze1Cr,199819,4,Gin + Mio
0.36,0.962,1,-6.093,0,0.0772,8.39e-5,0.0932,0.064,0.426,105.746,audio_features,2vas0jq2W6ABci3BjU0BQe,spotify:track:2vas0jq2W6ABci3BjU0BQe,https://api.spotify.com/v1/tracks/2vas0jq2W6ABci3BjU0BQe,https://api.spotify.com/v1/audio-analysis/2vas0jq2W6ABci3BjU0BQe,259360,4,"Hey, What Time is ""Pensacola: Wings of Gold"" On Anyway?"
0.471,0.994,7,-1.999,0,0.186,8.15e-6,0,0.125,0.151,125.051,audio_features,43WJKLBFnLRd8Y1MJDpJLI,spotify:track:43WJKLBFnLRd8Y1MJDpJLI,https://api.spotify.com/v1/tracks/43WJKLBFnLRd8Y1MJDpJLI,https://api.spotify.com/v1/audio-analysis/43WJKLBFnLRd8Y1MJDpJLI,102320,4,I Believe You
