"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name"
"42",0.825,0.605,11,-9.71,1,0.0376,0.0764,0,0.314,0.944,124.005,"audio_features","2Bhmj4XK33InfhqKPxcJ1v","spotify:track:2Bhmj4XK33InfhqKPxcJ1v","https://api.spotify.com/v1/tracks/2Bhmj4XK33InfhqKPxcJ1v","https://api.spotify.com/v1/audio-analysis/2Bhmj4XK33InfhqKPxcJ1v",229360,4,"Dile al Amor"
"43",0.656,0.551,10,-7.051,0,0.334,0.24,0,0.0783,0.553,89.988,"audio_features","2HnkiEisMQbBHEbsIZJCfz","spotify:track:2HnkiEisMQbBHEbsIZJCfz","https://api.spotify.com/v1/tracks/2HnkiEisMQbBHEbsIZJCfz","https://api.spotify.com/v1/audio-analysis/2HnkiEisMQbBHEbsIZJCfz",320686,4,"Afilando Los Cuchillos"
"44",0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,"audio_features","69Ej1xrGjOcHvIMtMKxK0G","spotify:track:69Ej1xrGjOcHvIMtMKxK0G","https://api.spotify.com/v1/tracks/69Ej1xrGjOcHvIMtMKxK0G","https://api.spotify.com/v1/audio-analysis/69Ej1xrGjOcHvIMtMKxK0G",204600,4,"Dile"
"45",0.651,0.327,4,-10.07,1,0.402,0.928,0,0.225,0.551,135.325,"audio_features","2N3YZ075lq9z1ObaAiX6l1","spotify:track:2N3YZ075lq9z1ObaAiX6l1","https://api.spotify.com/v1/tracks/2N3YZ075lq9z1ObaAiX6l1","https://api.spotify.com/v1/audio-analysis/2N3YZ075lq9z1ObaAiX6l1",89749,4,"LAX"
"46",0.67,0.821,9,-5.868,0,0.0334,0.251,0,0.199,0.384,94.983,"audio_features","1OYZbxODr6TMlaT2PRi6Wi","spotify:track:1OYZbxODr6TMlaT2PRi6Wi","https://api.spotify.com/v1/tracks/1OYZbxODr6TMlaT2PRi6Wi","https://api.spotify.com/v1/audio-analysis/1OYZbxODr6TMlaT2PRi6Wi",242390,4,"Perdóname"
"47",0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,"audio_features","2TktkzfozZifbQhXjT6I33","spotify:track:2TktkzfozZifbQhXjT6I33","https://api.spotify.com/v1/tracks/2TktkzfozZifbQhXjT6I33","https://api.spotify.com/v1/audio-analysis/2TktkzfozZifbQhXjT6I33",216680,3,"Evergreen (You Didn’t Deserve Me At All)"
"48",0.956,0.72,10,-2.73,0,0.173,0.00192,0,0.117,0.282,127.943,"audio_features","4xYKCxgogB1y10Y075sCx3","spotify:track:4xYKCxgogB1y10Y075sCx3","https://api.spotify.com/v1/tracks/4xYKCxgogB1y10Y075sCx3","https://api.spotify.com/v1/audio-analysis/4xYKCxgogB1y10Y075sCx3",173500,4,"Whole Lotta Choppas (Remix) [feat. Nicki Minaj]"
"49",0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,"audio_features","2LBqCSwhJGcFQeTHMVGwy3","spotify:track:2LBqCSwhJGcFQeTHMVGwy3","https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3","https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3",260253,4,"Die For You"
"50",0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,"audio_features","5yY9lUy8nbvjM1Uyo1Uqoc","spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc","https://api.spotify.com/v1/tracks/5yY9lUy8nbvjM1Uyo1Uqoc","https://api.spotify.com/v1/audio-analysis/5yY9lUy8nbvjM1Uyo1Uqoc",237735,4,"Life Is Good (feat. Drake)"
"51",0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,"audio_features","119c93MHjrDLJTApCVGpvx","spotify:track:119c93MHjrDLJTApCVGpvx","https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx","https://api.spotify.com/v1/audio-analysis/119c93MHjrDLJTApCVGpvx",252187,4,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)"
"52",0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,"audio_features","7wZUrN8oemZfsEd1CGkbXE","spotify:track:7wZUrN8oemZfsEd1CGkbXE","https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE","https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE",262467,4,"Bleeding Love"
"53",0.978,0.477,8,-8.159,1,0.155,0.000143,0,0.133,0.196,110.002,"audio_features","3AEgic4yp82NxMWUjHtxnO","spotify:track:3AEgic4yp82NxMWUjHtxnO","https://api.spotify.com/v1/tracks/3AEgic4yp82NxMWUjHtxnO","https://api.spotify.com/v1/audio-analysis/3AEgic4yp82NxMWUjHtxnO",109091,4,"Uno"
"54",0.692,0.624,10,-6.283,1,0.0296,0.0983,0.000144,0.124,0.894,118.94,"audio_features","6PyD9wjBeQB2pFZJl14KsM","spotify:track:6PyD9wjBeQB2pFZJl14KsM","https://api.spotify.com/v1/tracks/6PyD9wjBeQB2pFZJl14KsM","https://api.spotify.com/v1/audio-analysis/6PyD9wjBeQB2pFZJl14KsM",203440,4,"Te Quiero Mucho"
"55",0.736,0.593,7,-9.364,1,0.184,0.117,2.5e-06,0.189,0.785,114.196,"audio_features","0vNtFN67TIMgDokyyuUUwA","spotify:track:0vNtFN67TIMgDokyyuUUwA","https://api.spotify.com/v1/tracks/0vNtFN67TIMgDokyyuUUwA","https://api.spotify.com/v1/audio-analysis/0vNtFN67TIMgDokyyuUUwA",183595,1,"El Ruddy"
"56",0.836,0.581,4,-7.525,0,0.0557,0.463,0.000463,0.122,0.613,109.48,"audio_features","2L4gbQNTxISQndSblNUwJJ","spotify:track:2L4gbQNTxISQndSblNUwJJ","https://api.spotify.com/v1/tracks/2L4gbQNTxISQndSblNUwJJ","https://api.spotify.com/v1/audio-analysis/2L4gbQNTxISQndSblNUwJJ",225767,4,"Ahora Todo Es Diferente"
"57",0.517,0.554,6,-7.417,0,0.0483,0.266,0,0.091,0.966,163.746,"audio_features","78nK6LUy3FutFRJpRU9Guy","spotify:track:78nK6LUy3FutFRJpRU9Guy","https://api.spotify.com/v1/tracks/78nK6LUy3FutFRJpRU9Guy","https://api.spotify.com/v1/audio-analysis/78nK6LUy3FutFRJpRU9Guy",215125,3,"En El Radio Un Cochinero (Remix)"
"58",0.855,0.59,9,-8.55,1,0.0751,0.28,0.0982,0.149,0.283,110.016,"audio_features","3K56RPWS4q200IwHiIZcUD","spotify:track:3K56RPWS4q200IwHiIZcUD","https://api.spotify.com/v1/tracks/3K56RPWS4q200IwHiIZcUD","https://api.spotify.com/v1/audio-analysis/3K56RPWS4q200IwHiIZcUD",137184,4,"Andamos Mejor"
"59",0.506,0.936,9,-0.172,1,0.0463,0.158,2.91e-05,0.194,0.458,148.071,"audio_features","35COOJVYzJ7fVz7EXaMKSv","spotify:track:35COOJVYzJ7fVz7EXaMKSv","https://api.spotify.com/v1/tracks/35COOJVYzJ7fVz7EXaMKSv","https://api.spotify.com/v1/audio-analysis/35COOJVYzJ7fVz7EXaMKSv",267651,4,"Zapateado Encabronado #3"
